sigXX-0.0;sigYY-0.0;sigXX-0.1;sigYY-0.1;sigXX-0.2;sigYY-0.2;sigXX-0.3;sigYY-0.3;sigXX-0.4;sigYY-0.4;tau_sigXX;tau_sigYY;tau_sigXY;aniso_theta;aniso_sig0;aniso_r
1.005231;0.032858;0.990310;0.032371;0.943221;0.030831;0.856146;0.027985;0.711392;0.023254;0.989002;0.944112;0.030870;52.000000;0.954590;0.593890
1.005500;0.033500;0.990581;0.033003;0.943494;0.031434;0.856416;0.028533;0.711643;0.023709;0.988942;0.944057;0.031462;53.000000;0.953660;0.592780
1.005769;0.034141;0.990851;0.033635;0.943766;0.032037;0.856686;0.029081;0.711893;0.024166;0.988881;0.944000;0.032054;54.000000;0.952780;0.592130
1.006037;0.034783;0.991121;0.034268;0.944038;0.032640;0.856955;0.029629;0.712143;0.024622;0.988819;0.943943;0.032646;55.000000;0.951940;0.591910
1.006305;0.035426;0.991390;0.034901;0.944309;0.033243;0.857225;0.030178;0.712393;0.025079;0.988755;0.943885;0.033238;56.000000;0.951160;0.592090
1.006573;0.036069;0.991658;0.035534;0.944580;0.033847;0.857493;0.030727;0.712643;0.025536;0.988690;0.943825;0.033830;57.000000;0.950430;0.592650
1.006839;0.036712;0.991926;0.036168;0.944851;0.034451;0.857762;0.031276;0.712893;0.025994;0.988625;0.943765;0.034422;58.000000;0.949750;0.593570
1.007106;0.037355;0.992194;0.036802;0.945121;0.035056;0.858030;0.031826;0.713142;0.026452;0.988558;0.943703;0.035014;59.000000;0.949120;0.594820
1.007371;0.037999;0.992461;0.037436;0.945390;0.035661;0.858297;0.032376;0.713391;0.026910;0.988490;0.943640;0.035606;60.000000;0.948540;0.596370
1.007637;0.038643;0.992728;0.038071;0.945660;0.036266;0.858565;0.032926;0.713640;0.027368;0.988421;0.943577;0.036197;61.000000;0.948010;0.598190
1.007901;0.039287;0.992994;0.038706;0.945928;0.036872;0.858832;0.033477;0.713888;0.027827;0.988350;0.943512;0.036789;62.000000;0.947540;0.600260
1.008166;0.039932;0.993260;0.039342;0.946197;0.037478;0.859098;0.034028;0.714137;0.028286;0.988279;0.943446;0.037380;63.000000;0.947110;0.602550
1.008429;0.040577;0.993525;0.039978;0.946464;0.038084;0.859364;0.034579;0.714385;0.028745;0.988206;0.943379;0.037971;64.000000;0.946720;0.605030
